"question","answer","category","keywords"
"你们的营业时间是什么？","本门店为星巴克纽约门店，全年24小时营业（24/7）。个别节假日或突发情况如有调整，将在店内公告与星巴克App同步。","营业信息","营业时间;24小时;通宵;open 24/7"
"你们的地址和交通方式是什么？","门店位于纽约大街123号，曼哈顿（示例地址），临近地铁X线A出口步行约3分钟。建议在星巴克App中搜索“Starbucks New York Avenue 24h”获取精确导航与拥挤度。","营业信息","地址;纽约;Manhattan;怎么去;地铁"
"是否提供停车优惠？","与旁边商场停车场合作，单笔消费满¥50可在柜台领取2小时停车抵扣券，周末与节假日以停车场公告为准。","营业信息","停车;停车券;停车优惠"
"店内是否提供免费Wi‑Fi？","提供星巴克免费Wi‑Fi（Starbucks Wi‑Fi）。连接后根据页面指引完成认证即可上网。夜间为保障体验，高峰时段可能限速或切换网络。","门店设施","WiFi;Starbucks Wi‑Fi;上网;密码"
"是否有充电插座？","吧台侧、靠墙长桌以及部分卡座下方设有插座，数量有限，请相互礼让。","门店设施","充电;插座;电源;笔记本"
"可以带宠物进店吗？","我们是宠物友好门店，牵引绳或宠物包必需，宠物请勿上桌椅。人流高峰时段可能引导您至露台座位。","门店设施","宠物;猫狗;宠物友好"
"店内是否适合学习或办公？","欢迎安静学习与远程办公。为保障他人体验，高峰期（周末下午与工作日午后）每人默认2小时座位时间，如需延长可与店员协调。","门店设施","学习;办公;自习;时间限制"
"有儿童座椅吗？","提供2把儿童座椅与防滑餐垫，先到先得。","门店设施","儿童座椅;宝宝;亲子"
"卫生间在哪里？","卫生间在店内后区走廊右侧，门牌“Restroom”。若暂不可用，店员会引导至同层公共洗手间。","门店设施","卫生间;洗手间;厕所"
"是否支持预订或包场？","星巴克门店通常不接受包场与座位预订，座位先到先得。若为团队取餐与大量订单，请提前通过星巴克App或到店沟通安排出杯时段。","营业信息","不接受预订;不包场;先到先得"
"可以开发票吗？","可提供电子或纸质收据；如需商务用途发票（Invoice），可登记公司信息与邮箱，由总部系统邮件发送PDF发票或发票链接。具体以品牌与地区政策为准。","支付与发票","发票;收据;Invoice;邮箱;开票"
"支持哪些支付方式？","支持现金、主要信用/借记卡（Visa/Mastercard/AmEx）、Apple Pay、Google Pay、Starbucks Card 与星巴克App支付。具体以门店当日系统为准。","支付与发票","支付;Apple Pay;Google Pay;信用卡;Starbucks Card;App"
"你们有会员或积分吗？","支持 Starbucks Rewards 会员，使用星巴克App或注册的 Starbucks Card 消费可累计星星（Stars），用于兑换指定饮品与加料。具体星级与兑换档位以美国地区当期规则为准。","会员与优惠","Starbucks Rewards;会员;积分;Stars;兑换"
"有自带杯优惠吗？","星巴克支持自带杯点单。到店点单或App下单选择“自带杯”可享受品牌当期自带杯优惠（金额与细则以系统当日显示为准），杯体需可密封且耐热。","会员与优惠","自带杯;可重复使用杯;折扣;Bring Your Own Cup"
"点单后大概需要多久出餐？","工作日平均3–6分钟，高峰期（11:30–13:30、15:30–18:00）可能延至10分钟左右，手冲与冰滴等需更久，具体以叫号屏为准。","点单帮助","出餐时间;等候;排队"
"可以修改甜度和冰量吗？","大部分饮品可调甜度（无糖/少糖/标准/半糖/多糖）与冰量（去冰/少冰/正常冰/多冰），手冲、冰滴和特调部分受限。","点单帮助","甜度;冰量;无糖;少冰;去冰"
"可以更换奶吗？","可选全脂/脱脂/燕麦/豆奶/椰奶，加植物奶加价¥4，脱脂不加价。某些特调为保证口感不建议替换。","点单帮助","换奶;燕麦奶;豆奶;椰奶;脱脂"
"加浓或加一份浓缩如何收费？","加一份浓缩（单/双）每份加价¥4；加咖啡豆粉量或更改萃取参数不额外收费，视当日豆子情况由咖啡师把控。","点单帮助","加浓;extra shot;加一份浓缩"
"是否提供无咖啡因选择？","提供脱因意式拼配与部分产区低因手冲，菜单中标注“Decaf/低因”。孕期或对咖啡因敏感者建议选择低因或茶饮。","产品与原料","脱因;低因;无咖啡因;decaf"
"常见饮品的咖啡因含量是多少？","中杯美式约150–180mg，中杯拿铁约80–120mg，实际随豆子与萃取而变动。如需更低咖啡因可选择半份浓缩或低因豆。","产品与原料","咖啡因;含量;美式;拿铁"
"冰美式有糖吗？","默认不加糖，如需糖浆请下单时备注（香草/榛果/焦糖等）。","点单帮助","冰美式;是否有糖;无糖"
"拿铁和澳白有什么区别？","两者都含意式浓缩与牛奶。澳白使用更高比例的浓缩与更少奶泡，口感更为醇厚、咖啡味更突出；拿铁奶量更大更顺滑。","产品与原料","拿铁;澳白;差异;Flat White"
"美式和浓缩有什么区别？","美式为意式浓缩加入热水稀释，风味更清亮、容量更大；浓缩是少量高浓度萃取，风味集中、体量小。","产品与原料","美式;浓缩;差别;Americano;Espresso"
"是否有茶饮或不含咖啡因的饮品？","提供四季春、伯爵红茶、玫瑰乌龙与柠檬特饮等，菜单标注“Tea/特饮”。","产品与原料","茶;不含咖啡因;特饮"
"是否提供少冰/去冰热度调整？","冰饮可选去冰/少冰/正常冰，热饮可选常温/45°C/55°C/65°C，温度以不影响风味为前提进行。","点单帮助","去冰;少冰;温度;热饮"
"有哪些低糖或无糖选择？","美式、手冲与冷萃默认无糖；燕麦拿铁可做半糖；果味特调可改为无糖基底并使用代糖（甜菊/赤藓糖醇）。","产品与原料","低糖;无糖;代糖;健康"
"对乳糖不耐受可以喝什么？","可选择燕麦奶、豆奶或黑咖啡类（美式、手冲、冷萃）。含乳饮品可标注无乳糖牛奶（视当日备货）。","过敏与健康","乳糖不耐;无乳糖;燕麦奶;豆奶"
"含有坚果或过敏原的产品有哪些？","含榛果/杏仁/开心果酱或坚果碎的特调与部分糕点含过敏原，具体以当日陈列与配料表为准，请在点单前告知店员。","过敏与健康","过敏;坚果;配料;致敏源"
"你们使用的咖啡豆来自哪里？","常备两款拼配与两至三款单品豆，产区覆盖拉美与非洲。烘焙度在中度至中浅之间，具体豆单与风味卡在吧台展示。","产品与原料","咖啡豆;产区;烘焙度;豆单"
"可以买咖啡豆或研磨吗？","支持整包咖啡豆零售，可按手冲/法压/意式等需求当场研磨并密封。支持在线商城下单邮寄。","产品与原料","咖啡豆零售;研磨;带走;邮寄"
"如何选择研磨粗细？","手冲建议中细研磨，法压壶偏粗，摩卡壶中细，意式机细粉。我们可根据您的器具与口味调整。","产品与原料","研磨;粗细;手冲;意式;法压"
